"","zip","Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017","suicides","city","state","latitude","longitude"
"216","92027",55371.9,2.4032,7.2889,3624.4,4573,80094.8,61,"Escondido","CA",33.142706,-117.03049
"217","95350",55350.2,3.676,6.2409,3327,5054.5,83697.8,74,"Modesto","CA",37.671778,-121.01249
"218","95610",55300.4,3.4073,4.1604,3466.7,4677.8,80539.7,81,"Citrus Heights","CA",38.696912,-121.27125
"219","93535",55238.1,20.9198,3.4368,3025.1,4900.6,84458.9,77,"Lancaster","CA",34.691946,-117.97756
"220","90638",55230.4,2.2681,19.6346,3933.8,4290.3,77272.7,45,"La Mirada","CA",33.90213,-118.00966
"221","94066",55209.4,2.0786,32.9808,3980.1,3910.3,75421.2,46,"San Bruno","CA",37.625908,-122.42363
"222","92040",55184.9,1.6468,2.3828,3785.7,4519.9,77596.4,76,"Lakeside","CA",32.873849,-116.90477
"223","93550",55179,15.1446,2.89,3009.9,4849.3,84177.1,79,"Palmdale","CA",34.56548,-118.08549
"224","93455",54841.3,2.2225,6.006,3834.9,4509.9,77267.1,45,"Santa Maria","CA",34.87455,-120.42806
"225","92801",54829.3,4.028,19.4743,3337.8,4378,80989.2,59,"Anaheim","CA",33.844814,-117.95381
"226","93012",54815.3,1.5457,11.7489,4325.5,4075.3,72022.3,51,"Camarillo","CA",34.218756,-118.99213
